,Currency,time_period_start,price_open,price_high,price_low,price_close,volume_traded,trades_count
328,LTC,2015-01-29,1.8863,1.9749,1.757,1.881,284947.10705427,12110.0
329,LTC,2015-01-30,1.878,2.16142,1.831,1.8799,165668.37437859,7725.0
330,LTC,2015-01-31,1.849,1.9824,1.83091,1.85018,104823.53711887,6029.0
331,LTC,2015-02-01,1.858,1.8989,1.651,1.8092,380288.04424637,16167.0
332,LTC,2015-02-02,1.8237,1.94,1.70114,1.836,229261.03136011,8856.0
333,LTC,2015-02-03,1.881,2.0293,1.781,1.79,312198.8596557,12447.0
334,LTC,2015-02-04,1.791,1.866,1.7351,1.78351,127595.24263243,7526.0
335,LTC,2015-02-05,1.785,1.816,1.6914,1.7345,125768.04262709,5081.0
336,LTC,2015-02-06,1.73294,1.99,1.71586,1.75914,154446.88557422,9051.0
337,LTC,2015-02-07,1.76014,1.888,1.7531,1.78999,117266.67862441,7017.0
338,LTC,2015-02-08,1.78999,1.847,1.749,1.766,48114.11522809,3579.0
339,LTC,2015-02-09,1.769,1.8,1.6962,1.722,149837.754244889,6379.0
340,LTC,2015-02-10,1.722,1.8098,1.66,1.7741,209507.09545182,7312.0
341,LTC,2015-02-11,1.7741,1.81,1.6991,1.729,69928.40408982,3936.0
342,LTC,2015-02-12,1.729,1.7768,1.69115,1.72877,50646.53733948,2334.0
343,LTC,2015-02-13,1.73035,1.8889,1.712,1.8011,200905.35731975,9194.0
344,LTC,2015-02-14,1.80289,1.995,1.67876,1.95,669575.92022579,10354.0
345,LTC,2015-02-15,1.9525,2.045,1.74533,1.854,1725866.81788802,20012.0
346,LTC,2015-02-16,1.839,1.862,1.77,1.777,837280.13651346,9909.0
347,LTC,2015-02-17,1.799,1.89,1.5,1.859,920847.21693924,10418.0
348,LTC,2015-02-18,1.838,1.8879,1.767,1.834,743442.1072901,8715.0
349,LTC,2015-02-19,1.818,1.8587,1.79,1.844,552827.98445526,7681.0
350,LTC,2015-02-20,1.8101,1.875,1.7901,1.846,700775.33044424,8887.0
351,LTC,2015-02-21,1.853,1.877,1.7902,1.858,445088.95578424,6954.0
352,LTC,2015-02-22,1.848,1.873,1.73155,1.809,680657.21249926,9596.0
353,LTC,2015-02-23,1.8,1.839,1.72,1.825,584287.46488072,8151.0
354,LTC,2015-02-24,1.812,1.847,1.73,1.828,450244.95193775,7528.0
355,LTC,2015-02-25,1.833,1.837,1.75407,1.801,347448.41231519,6685.0
356,LTC,2015-02-26,1.812,1.8263,1.74,1.809,129643.00387416,3573.0
357,LTC,2015-02-27,1.803,1.93279,1.752,1.847,1009197.20993457,13254.0
358,LTC,2015-02-28,1.8631,1.865,1.79,1.845,434213.74748795,6764.0
359,LTC,2015-03-01,1.851,1.931,1.76,1.893,684810.17496846,9731.0
360,LTC,2015-03-02,1.895,1.966,1.81511,1.938,1053019.85708631,13831.0
361,LTC,2015-03-03,1.934,2.02559,1.861,1.957,1278176.23968417,14612.0
362,LTC,2015-03-04,1.957,1.985,1.84457,1.932,1024352.67738616,11109.0
363,LTC,2015-03-05,1.927,1.99999,1.85689,1.92,778513.32943851,9506.0
364,LTC,2015-03-06,1.92,1.9449,1.875,1.894,884514.56958026,10911.0
365,LTC,2015-03-07,1.896,1.952,1.86776,1.913,587628.59257174,9130.0
366,LTC,2015-03-08,1.8981,1.9299,1.77137,1.886,549586.145678238,10155.0
367,LTC,2015-03-09,1.88136,2.06969,1.881,1.95,1044079.16122527,11105.0
368,LTC,2015-03-10,1.945,2.1386,1.91224,1.98115,736284.54771195,13893.0
369,LTC,2015-03-11,1.988,2.07641,1.9666,2.0,660323.28869484,9320.0
